Age,Pos,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,oWAR,dWAR,oRAR,Salary
27,14,43,99,-1,0,0,-1,0,-1,-0.1,1,0,-0.9,-0.6,-0.3,1,0.91000
21,6,46,212,11,-1,0,4,2,16,1.6,7,23,2.3,1.8,0.6,19,0.56350
23,10,15,49,-3,0,0,-1,-1,-5,-0.5,2,-3,-0.3,-0.2,-0.2,-2,0.56350
36,2,15,47,-9,0,0,0,1,-8,-0.8,2,-7,-0.7,-0.7,0.1,-7,0.56350
29,4,79,170,7,0,0,-1,0,6,0.5,4,10,1.5,1.2,0.2,11,0.56350
25,8,27,60,-10,0,0,4,0,-6,-0.6,2,-4,-0.4,-0.8,0.4,-8,0.56350
26,14,9,14,-3,0,0,0,0,-3,-0.3,1,-2,-0.2,-0.2,0,-2,0.56120
31,3,156,616,-1,-3,1,2,-8,-9,-1.2,20,11,0.8,0.8,-0.8,9,17.20000
32,6,147,560,-17,-1,1,-4,7,-14,-1.6,18,5,0.2,0.7,0.2,9,15.20000
27,3,117,420,-8,1,0,-7,-6,-20,-1.8,15,-5,-0.4,0.2,-1.1,2,0.56350
26,15,120,447,-18,0,1,-12,0,-29,-2.7,16,-13,-1.2,-0.1,-1,-1,1.30000
24,4,82,327,10,3,2,-1,1,15,1.5,12,26,2.6,2.7,0.1,27,1.00000
26,14,69,254,5,-1,0,-3,-1,0,-0.1,8,9,0.7,1.1,-0.5,12,0.59829
22,12,25,81,-8,0,0,-1,1,-8,-0.8,3,-5,-0.6,-0.5,0,-4,0.56350
35,8,141,550,11,1,3,5,0,21,2.2,20,41,4.1,3.5,0.7,36,7.50000
25,8,30,79,-6,0,0,6,0,0,0,3,3,0.3,-0.3,0.6,-3,0.56350
27,4,17,52,-1,0,0,-1,0,-1,-0.1,1,0,0.1,0.1,0,1,0.56350
26,5,126,520,12,0,-1,13,-1,23,2.1,17,40,3.7,2.6,1.1,27,0.58500
32,4,135,482,-3,0,-1,-5,3,-7,-0.9,16,9,0.7,1.3,-0.3,14,9.00000
28,7,136,458,5,0,2,0,-3,5,0.7,16,22,2.2,2.1,-0.1,22,0.58350
35,2,85,316,-7,-2,-1,-2,5,-7,-0.8,10,4,0.2,0.5,0.2,6,2.00000
27,15,28,48,-1,0,0,-1,0,-2,-0.2,2,0,0,0.1,-0.2,1,0.56350
31,4,87,295,0,-1,1,2,1,3,0.3,11,13,1.4,1.1,0.4,11,3.57500
31,2,43,129,2,-2,-1,-2,2,0,0,4,4,0.4,0.6,0,6,0.56350
24,7,134,546,25,-1,0,5,-4,26,2.3,18,43,4.1,3.7,0,38,0.56350
26,9,157,682,19,1,0,10,-6,25,2.2,21,46,4.3,3.5,0.3,36,11.53846
26,9,56,197,-15,0,1,-2,0,-16,-1.5,7,-9,-0.8,-0.7,-0.2,-7,0.56350
32,2,114,445,-9,-2,-3,5,6,-3,-0.5,14,12,0.9,0.6,1,7,22.17778
25,8,87,295,5,3,1,10,2,21,2.1,11,31,3.1,2.1,1.3,21,1.75000
29,3,125,499,2,-1,0,5,-7,-2,0,18,16,1.7,1.1,0,11,4.80000
33,2,20,41,-2,-1,0,1,1,-1,-0.1,1,0,0,-0.1,0.2,-1,0.56350
26,2,45,142,-4,-1,0,-1,2,-4,-0.3,5,1,0.2,0.2,0.2,2,0.55713
32,14,82,269,10,-1,0,1,-3,6,0.7,10,16,1.6,1.5,-0.2,15,0.56350
24,6,75,321,14,0,-1,7,4,24,2.4,11,35,3.5,2.7,1.2,28,5.00000
33,14,34,99,-4,0,0,-2,0,-7,-0.7,3,-3,-0.4,-0.2,-0.3,-1,0.56350
33,7,45,166,-3,-1,0,-2,-1,-7,-0.7,2,-5,-0.5,-0.8,0.1,-3,0.56350
33,3,158,686,30,2,-1,0,-10,22,2.3,24,46,4.6,4.5,-0.7,46,20.33333
24,2,111,365,3,0,-1,-1,6,7,0.5,12,19,1.7,1.9,0.4,20,0.56000
21,6,11,43,-5,0,0,-7,1,-12,-1.1,1,-10,-1,-0.3,-0.6,-3,0.56350
24,4,100,430,9,5,1,-3,1,14,1.4,15,29,2.9,3.1,-0.1,32,0.56350
24,8,22,74,-10,0,0,-1,0,-10,-1,3,-7,-0.7,-0.6,0,-6,0.55750
29,4,161,667,-8,2,3,-3,4,-3,-0.6,22,19,1.6,2.1,0,22,7.75000
28,7,44,147,-6,0,0,7,0,2,0.1,3,5,1.1,0.5,0.6,-2,0.56350
27,14,124,370,-5,-1,0,8,-3,0,0.2,13,14,1.4,0.6,0.7,6,0.56500
27,2,19,54,-1,0,0,0,1,0,0,2,2,0.2,0.2,0.1,2,0.55500
24,2,59,198,-2,-1,-1,-7,3,-8,-0.7,7,-1,0,0.7,-0.3,6,0.56350
32,9,140,634,22,-2,-1,-9,-5,5,0.2,19,24,2.1,3.2,-1.6,33,21.50000
30,15,108,144,-2,0,0,0,-2,-4,-0.5,5,1,0,0,-0.3,1,1.39500
26,9,54,157,-8,1,0,-5,-2,-14,-1.3,6,-8,-0.8,-0.3,-0.6,-3,0.56350
26,11,87,330,-11,0,-2,-4,-2,-19,-1.8,12,-7,-0.6,-0.3,-0.5,-3,0.85000
33,3,105,352,-19,1,-1,-2,-5,-25,-2.3,13,-12,-1.2,-1,-0.6,-10,23.00000
31,2,30,94,-5,0,-1,-2,1,-7,-0.6,3,-3,-0.3,-0.1,0,-1,1.00000
36,2,52,164,-7,0,-2,-4,3,-10,-1.1,5,-5,-0.5,-0.1,-0.2,0,4.15000
27,12,66,196,-4,0,0,1,1,-2,-0.2,2,-1,-1,-1.3,0.5,-2,0.56350
25,3,16,20,-4,0,0,-1,0,-5,-0.5,1,-4,-0.4,-0.3,-0.1,-3,0.56350
28,15,124,414,4,2,0,-1,1,5,0.4,13,19,1.7,1.9,-0.2,20,3.50000
24,5,16,57,-2,0,0,0,0,-1,-0.1,2,1,0.1,0.1,0.1,1,0.56350
30,4,8,8,1,0,0,0,0,1,0.1,0,2,0.2,0.2,0,1,0.56350
28,2,138,521,0,1,-3,-2,6,3,0.5,19,22,2.3,2.3,0.6,24,2.85000
28,3,152,603,8,3,-1,11,-8,13,1.1,20,33,3,2,0.2,22,0.55980
27,9,130,580,56,7,1,-2,-5,57,5.3,18,74,7,7.3,-0.8,76,9.75000
25,7,104,416,-12,-3,3,-2,-5,-19,-1.7,15,-4,-0.3,-0.2,-0.5,-2,0.55640
24,9,69,246,3,-1,1,-8,-4,-9,-0.8,9,0,0.1,0.8,-1,8,0.56330
23,9,156,661,52,1,0,27,-6,74,7.1,21,95,9.1,6.6,2,68,0.60500
22,6,56,159,-9,1,1,2,2,-2,-0.3,5,3,0.2,0.1,0.4,1,0.56350
26,5,149,503,-3,-2,-1,-21,2,-25,-2.7,16,-9,-1.1,1.1,-2,12,0.57950
26,7,8,16,-3,0,0,2,0,-1,-0.2,1,-1,-0.1,-0.3,0.2,-3,0.55500
30,4,28,68,-1,0,0,0,0,-1,-0.1,0,-1,-0.4,-0.4,0,-1,0.56350
30,7,78,279,4,-1,0,-2,-1,-1,-0.2,4,3,0.8,1.4,-0.9,5,0.56350
25,6,134,541,7,1,2,2,7,18,1.6,18,36,3.3,3.3,0.7,34,4.00000
28,4,32,102,-5,0,0,5,1,2,0.1,3,5,0.5,0,0.6,0,1.20000
27,13,10,24,0,0,0,1,0,2,0.1,1,2,0.2,0.1,0.1,1,0.56350
30,2,84,236,-3,1,0,5,4,6,0.5,8,14,1.2,0.8,0.8,9,0.95000
38,7,138,363,-10,-4,0,0,-3,-16,-1.8,12,-5,-0.6,-0.5,-0.4,-5,1.75000
32,4,82,194,-16,0,0,-1,1,-16,-1.7,6,-9,-1.1,-0.9,-0.1,-8,1.50000
34,3,132,478,-8,0,0,3,-6,-10,-1.2,16,5,0.3,0.1,-0.4,2,10.00000
27,9,30,93,-12,0,0,-4,-1,-18,-1.8,3,-15,-1.4,-1.1,-0.5,-11,0.56700
25,13,74,237,-9,-2,-1,-3,2,-12,-1.1,8,-4,-0.3,-0.1,0,-1,0.57030
26,10,144,558,9,-3,0,-6,-11,-10,-0.7,20,10,1.2,1.6,-1.5,16,0.55860
24,2,107,384,-16,-2,0,7,6,-4,-0.3,14,10,1.1,0.3,1.4,3,0.55870
25,13,16,40,1,0,0,2,0,3,0.3,1,5,0.5,0.3,0.2,3,0.56350
28,15,130,511,6,3,0,-6,-2,1,0.3,18,19,2,2.4,-0.6,25,0.56350
25,6,127,545,-9,0,1,2,7,1,-0.2,17,18,1.5,1.5,0.7,16,0.58500
26,13,127,356,4,0,-1,0,3,6,0.5,12,18,1.6,1.7,0.2,18,0.56150
25,14,100,413,4,-1,1,-11,-2,-8,-1,13,6,0.4,1.6,-1.4,17,0.56000
25,5,154,653,0,-1,1,17,4,21,2.3,23,44,4.5,2.7,2.2,27,0.56150
36,3,79,186,14,-1,-1,0,-2,10,0.9,6,16,1.5,1.5,-0.3,16,4.50000
30,2,17,20,-2,0,0,0,0,-2,-0.2,1,-2,-0.2,-0.2,0,-2,0.56350
31,7,99,423,4,-2,0,10,-4,8,0.6,13,21,1.9,1,0.6,11,7.00000
24,5,77,288,-13,0,-1,-4,1,-16,-1.5,10,-6,-0.5,-0.2,-0.2,-2,0.56350
31,4,117,421,-10,3,1,-5,3,-8,-0.6,15,7,0.8,1.2,-0.1,12,13.30000
23,2,4,9,-2,0,0,0,0,-2,-0.2,0,-2,-0.2,-0.2,0,-2,0.56350
26,8,118,408,-13,3,-1,8,2,0,0.2,15,15,1.5,0.7,1.2,7,1.40000
29,4,113,306,1,0,0,1,-1,2,0.1,10,12,1,1,-0.1,11,0.56350
25,7,57,167,-4,0,0,0,-2,-6,-0.5,4,-2,-0.1,-0.2,-0.1,-2,0.56350
28,13,5,5,-1,0,0,1,0,0,0,0,0,0,-0.1,0.1,-1,0.56350
33,9,150,574,1,0,2,-1,-3,-1,-0.3,19,18,1.5,1.7,-0.6,19,16.50000
29,6,82,344,-6,1,0,-10,4,-11,-0.9,12,2,0.3,1.2,-0.5,12,11.75000
30,4,145,655,32,0,-2,6,1,37,3.8,22,59,5.9,5.2,0.8,53,12.00000
25,9,44,142,-3,-1,0,-4,-2,-10,-0.9,5,-5,-0.4,-0.1,-0.5,-1,0.56350
24,2,16,43,-3,0,0,0,1,-3,-0.3,1,-1,-0.2,-0.1,0.1,-1,0.56350
23,13,21,30,0,0,0,0,0,1,0.1,1,2,0.2,0.2,0,2,0.56350
26,7,121,507,7,1,-1,-16,-5,-15,-1.3,18,3,0.5,1.9,-1.9,19,1.95000
24,7,89,197,8,-1,-1,-2,-3,1,0.1,6,8,0.7,0.9,-0.6,10,0.55932
31,12,81,228,7,0,0,-1,2,8,0.7,7,15,1.4,1.6,0,16,0.56350
25,12,7,19,0,-1,0,1,0,0,0.1,1,1,0.1,0,0.1,0,0.56350
35,2,16,49,-6,0,0,1,1,-5,-0.5,2,-3,-0.4,-0.5,0.2,-4,0.56350
25,14,3,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.55500
27,14,5,7,-1,0,0,0,0,-1,-0.1,0,-1,-0.1,-0.1,0,-1,0.56410
31,2,35,101,1,0,0,1,0,2,0.2,1,3,0.9,0.7,0.4,2,0.56350
35,4,6,21,-3,0,0,-3,0,-7,-0.6,1,-6,-0.6,-0.3,-0.3,-3,15.00000
24,14,17,47,-3,0,0,-4,-1,-8,-0.7,2,-6,-0.6,-0.2,-0.4,-2,0.55510
26,7,101,392,-6,-2,-1,-11,-4,-23,-2.1,14,-9,-0.8,0.2,-1.3,2,0.56010
25,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56350
26,15,113,282,-5,-3,0,-1,0,-10,-0.9,10,0,0.1,0.1,0,1,0.56500
27,7,137,590,3,3,3,-8,-5,-5,-0.3,21,16,1.7,2.4,-1.1,24,4.19000
23,4,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56350
30,5,158,699,9,2,3,1,4,18,1.5,22,39,3.6,3.7,0.3,38,6.16667
32,4,60,174,-13,1,0,-10,0,-23,-2.2,6,-17,-1.6,-0.7,-0.9,-7,5.00000
36,3,109,486,5,-1,0,0,-4,1,0.1,7,7,3,2.8,-0.6,7,0.56350
25,11,28,56,4,0,0,0,-1,3,0.3,2,5,0.5,0.5,-0.1,5,0.56350
29,13,83,236,3,0,1,-4,0,0,0,8,8,0.8,1.2,-0.3,12,1.30000
28,2,101,332,-13,1,0,-12,5,-20,-2.1,11,-9,-1,0.3,-0.8,3,0.57850
22,7,122,504,11,2,-1,-11,-5,-5,-0.3,18,14,1.5,2.4,-1.4,25,1.83333
30,6,147,648,-15,6,2,-4,8,-4,-0.2,22,18,2,2.2,0.6,22,15.25000
28,8,65,230,-4,2,1,-1,1,-1,-0.2,7,7,0.6,0.7,0,8,5.70000
27,4,130,460,-9,2,-1,15,2,9,0.7,15,24,2.2,0.8,1.6,9,3.72500
26,2,10,17,-3,0,0,0,0,-3,-0.3,1,-2,-0.2,-0.2,0,-2,0.56350
29,3,160,667,-7,-2,0,-3,-8,-20,-2.3,22,1,-0.2,0.3,-1.3,4,21.00000
33,4,110,442,0,1,0,-1,1,0,0.1,4,5,2.6,2.8,-0.1,6,0.56350
27,6,15,48,-8,0,0,-1,1,-9,-0.9,2,-7,-0.7,-0.6,0,-6,0.55500
32,3,149,459,7,0,1,1,-6,3,0.1,15,18,1.6,1.6,-0.7,17,6.00000
24,15,9,27,-1,0,0,0,0,-1,-0.1,1,0,0,0,0,0,0.56350
27,6,53,156,-7,0,-1,6,2,0,0,5,5,0.5,-0.1,0.7,-1,0.57700
39,2,21,53,-4,0,0,0,0,-4,-0.4,1,-3,-0.5,-0.5,0.1,-3,0.56350
27,5,159,662,27,-4,-2,-4,3,21,1.8,22,42,3.9,4.5,-0.3,46,7.28571
33,5,129,508,3,0,-2,7,2,11,0.9,17,28,2.5,2,0.8,21,14.66667
20,6,84,372,27,4,1,-3,4,33,3,11,44,4.1,4.5,0.1,47,0.55500
24,14,9,20,1,0,0,0,0,1,0.1,1,2,0.2,0.2,0,2,0.56010
33,2,48,160,4,0,-1,0,0,3,0.3,1,4,0.3,0.1,0.5,4,0.56350
25,6,143,654,10,1,-1,11,7,28,2.9,22,50,5,3.8,1.9,39,10.85000
23,2,79,244,-1,0,-1,-3,3,-1,-0.2,8,7,0.6,1,0,10,0.55630
27,3,6,15,-2,0,0,-1,0,-3,-0.3,1,-3,-0.3,-0.2,-0.1,-2,0.55500
23,4,23,58,-7,0,1,0,1,-5,-0.5,2,-3,-0.3,-0.3,0.1,-3,0.55750
23,10,150,548,-3,0,0,0,-4,-7,-0.6,7,1,0.4,1.6,-1.9,0,0.56350
29,3,158,692,30,1,-2,1,-8,22,1.9,22,44,4,4.1,-0.9,43,21.00000
29,4,147,589,-2,0,-1,3,5,6,0.8,17,23,2.6,1.9,1.4,20,4.00000
28,3,107,421,8,-2,0,4,-6,5,0.3,14,18,1.6,1.4,-0.3,14,0.55500
24,15,105,327,-14,3,2,1,3,-6,-0.8,11,4,0.3,0.2,0.3,3,0.55700
26,15,19,39,-2,1,0,0,0,-1,-0.1,1,0,0.1,0.1,0.1,0,0.56350
26,2,106,446,11,-2,0,1,5,15,1.6,16,31,3.1,2.9,0.7,30,0.66980
21,4,23,82,-1,0,0,4,0,4,0.4,3,7,0.6,0.2,0.4,2,0.56350
29,14,122,556,36,1,-1,12,-2,46,4.6,19,65,6.4,5.1,1.2,53,12.00000
32,14,119,301,-3,1,-1,3,-2,-1,-0.2,7,6,0.6,0,0.4,3,0.56350
29,14,18,72,3,0,0,-1,-1,1,0.1,3,4,0.4,0.5,-0.2,5,26.00000
27,5,132,476,19,-1,0,1,2,22,2.3,17,39,3.9,3.7,0.5,38,0.56350
22,12,144,604,18,-1,-1,-13,6,9,1.1,22,31,3.1,4.2,-0.5,44,0.60520
32,4,83,240,-11,1,-1,-10,1,-20,-1.8,9,-11,-1,-0.1,-0.8,-1,0.56350
31,14,20,57,-7,0,0,0,-1,-7,-0.7,2,-5,-0.5,-0.5,0,-5,0.56350
26,2,58,224,-16,-1,0,-2,4,-15,-1.4,8,-7,-0.7,-0.5,0.2,-5,0.55860
26,7,89,256,-10,0,1,6,-3,-5,-0.4,9,4,0.5,-0.2,0.4,-2,0.56040
26,3,10,41,-2,0,0,-2,-1,-5,-0.4,1,-3,-0.3,-0.1,-0.2,-1,1.20000
29,4,134,372,-1,-1,1,-3,3,-1,-0.3,12,11,0.9,1.3,-0.2,14,0.91000
27,9,42,167,-3,-1,0,-5,-1,-11,-1.1,5,-5,-0.6,-0.1,-0.7,0,6.10000
28,14,89,231,-6,-2,0,3,-1,-6,-0.5,8,3,0.3,0,0.3,0,0.78200
35,10,16,57,-2,0,0,0,-1,-4,-0.4,2,-2,-0.2,-0.2,-0.1,-2,0.56350
26,13,139,550,5,0,-1,1,3,9,1.1,20,29,2.9,2.7,0.6,28,0.57800
25,15,97,369,-10,0,1,-10,1,-19,-1.7,13,-6,-0.4,0.4,-0.8,4,0.56350
24,9,119,446,-1,0,0,-4,-4,-9,-1.1,15,6,0.3,0.9,-0.9,10,0.56350
25,8,128,406,-8,1,0,14,2,10,0.8,13,23,2.1,0.8,1.5,9,0.57830
28,4,91,246,-12,-1,-1,4,2,-8,-0.9,8,0,-0.1,-0.5,0.5,-4,2.50000
35,13,121,370,22,0,-1,-3,-2,15,1.4,12,27,2.5,3,-0.7,30,4.00000
25,6,41,135,-9,0,0,-6,2,-13,-1.2,5,-8,-0.8,-0.2,-0.4,-2,0.56350
27,5,139,586,17,0,0,-5,0,11,1.3,21,32,3.2,3.6,-0.4,37,0.56723
36,10,83,316,11,2,1,-5,-5,4,0.5,11,16,1.6,2,-0.9,21,2.00000
27,14,140,494,-2,-1,0,23,-6,13,1.2,16,29,2.7,0.5,1.6,6,0.58210
33,8,140,482,-9,-1,-1,-21,0,-32,-3.4,16,-16,-1.8,0.4,-2.2,5,15.00000
24,15,58,156,5,1,0,1,-1,6,0.5,5,11,1,1,0,10,0.60350
37,4,87,281,-10,-3,0,-1,2,-12,-1.3,9,-3,-0.4,-0.3,0,-2,3.75000
27,14,12,17,-2,0,0,1,0,-1,-0.1,1,0,0,-0.1,0.1,-1,0.56350
45,9,2,6,-1,0,0,0,0,-1,-0.1,0,-1,-0.1,-0.1,0,-1,0.56350
27,4,92,211,-5,0,1,3,2,1,0,7,8,0.7,0.4,0.4,5,0.55700
29,14,19,54,-7,1,0,-2,0,-8,-0.9,2,-6,-0.7,-0.5,-0.2,-4,0.56350
23,4,49,201,-12,-1,0,-1,1,-13,-1.4,7,-6,-0.8,-0.6,0,-5,0.56350
24,15,65,222,-14,2,-1,0,3,-10,-0.9,8,-2,-0.1,-0.2,0.4,-2,0.56950
26,7,140,453,23,-2,-2,-20,-3,-3,-0.5,15,12,1,3.1,-2.4,32,0.56142
31,10,146,657,33,-1,-3,-7,-11,11,1.3,22,33,3.4,3.9,-1.6,40,23.75000
24,6,93,396,-5,0,1,-5,5,-4,-0.2,14,11,1.1,1.5,0.1,15,0.56350
28,2,145,593,8,2,0,10,9,28,2.6,19,47,4.5,3.6,1.7,37,5.90000
29,15,29,108,-7,1,0,3,0,-3,-0.3,4,1,0.1,-0.2,0.3,-2,0.56350
28,6,26,65,-8,0,0,5,1,-1,-0.1,2,1,0.1,-0.4,0.6,-4,0.56350
29,8,147,567,-6,-1,3,-2,3,-2,0,20,18,1.9,2,0.3,20,8.55000
24,15,9,7,1,0,0,-1,0,0,0,0,0,0,0.1,-0.1,1,0.56350
29,2,71,210,-4,-1,0,11,3,10,0.9,7,16,1.5,0.5,1.4,5,0.56400
27,8,88,333,-3,1,-1,-13,2,-14,-1.2,12,-2,-0.1,1.1,-1,11,0.56710
23,7,117,423,-14,-2,2,-3,-7,-23,-2.1,15,-8,-0.7,-0.5,-0.8,-5,0.56040
26,14,72,228,4,0,0,-2,-2,0,0.1,8,8,0.8,1,-0.3,10,0.57250
32,15,20,49,-4,-1,0,-1,0,-6,-0.6,2,-4,-0.5,-0.4,-0.1,-3,0.56350
24,14,12,41,-6,0,0,-5,0,-11,-1,1,-9,-0.9,-0.4,-0.4,-4,0.56350
28,11,78,226,-6,1,0,1,-1,-5,-0.6,7,3,0.2,0.1,0,2,4.82500
28,8,120,318,-9,2,1,6,1,2,0.3,11,13,1.4,0.7,0.9,7,2.21200
25,11,8,13,-1,0,0,-1,0,-2,-0.3,0,-2,-0.2,-0.1,-0.1,-1,0.55500
24,2,35,128,-13,-1,0,2,2,-10,-1,5,-6,-0.5,-0.8,0.5,-8,0.56350
29,2,118,476,8,1,-1,6,6,19,2,17,36,3.7,3,1.3,30,2.50000
25,3,31,87,-5,0,0,1,-1,-5,-0.5,3,-2,-0.3,-0.4,0,-3,0.56350
30,7,5,15,-2,0,0,1,0,-2,-0.2,1,-1,-0.1,-0.2,0.1,-2,0.56350
34,14,130,452,-21,7,1,14,1,1,-0.1,15,16,1.4,0.1,1.4,2,3.75000
32,2,79,275,0,-1,1,-8,5,-4,-0.3,10,6,0.7,1.4,-0.2,14,8.00000
29,9,147,589,0,2,1,2,-2,3,0,19,22,1.9,1.9,-0.2,20,20.00000
32,4,121,511,-11,1,0,-5,3,-13,-1.1,18,6,0.7,1.1,-0.1,11,14.66667
23,14,20,40,-2,1,0,-3,0,-4,-0.4,1,-3,-0.3,0,-0.4,0,0.56350
