Age,Pos,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,oWAR,dWAR,oRAR,Salary
26,6,138,561,7,2,0,27,7,44,4.2,18,62,6,3.4,3.3,35,5.20000
32,7,98,333,-4,-1,0,5,-1,-1,-0.2,5,4,0.6,0.4,-0.3,-2,0.56350
24,9,17,47,-3,-1,1,-1,-1,-5,-0.5,2,-4,-0.4,-0.3,-0.2,-3,0.56350
32,14,27,57,-1,-1,0,2,-1,-1,-0.1,2,1,0.1,-0.1,0.1,-1,0.70000
29,6,144,618,-9,3,1,-4,7,-1,-0.4,20,18,1.5,2.1,0.2,22,14.85000
35,13,9,8,-2,0,0,0,0,-2,-0.2,0,-2,-0.2,-0.2,0,-1,10.00000
30,13,62,101,-3,0,0,1,0,-2,-0.2,2,0,-0.4,-0.6,0.2,-1,13.00000
36,2,86,244,-32,0,0,3,5,-24,-2.3,9,-15,-1.5,-1.9,0.9,-18,3.25000
27,15,133,567,34,-4,2,4,-3,34,3.1,18,52,4.9,4.7,0,48,0.56771
25,11,94,386,-14,0,2,3,0,-9,-0.8,14,5,0.5,0.2,0.4,2,0.56350
25,7,113,384,7,-3,-1,-4,-3,-4,-0.5,12,9,0.7,1.2,-0.8,13,0.58000
29,3,131,369,1,-1,0,0,-2,-2,-0.1,4,2,-0.3,-0.3,-0.5,2,0.56350
31,2,20,67,-4,-1,0,0,1,-4,-0.3,2,-1,-0.1,-0.1,0.1,-1,0.85000
34,9,2,5,-1,0,0,1,0,-1,-0.1,0,0,0,-0.1,0.1,-1,0.56350
28,3,127,487,11,-2,1,-1,-7,2,0.4,17,20,2,2,-0.6,21,0.85000
27,7,149,514,16,0,0,7,-6,17,1.5,17,34,3.2,2.6,-0.1,27,5.00000
28,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56350
28,4,142,491,1,-1,1,-3,1,-1,-0.1,3,3,-0.6,0.3,-0.6,6,0.56350
25,14,70,297,14,2,0,5,-1,21,2.1,11,31,3.1,2.5,0.5,26,0.60550
28,7,68,189,-2,0,0,3,-1,0,0,5,5,0.5,0.2,0.2,2,0.57000
35,3,142,608,4,-2,-2,10,-8,3,0,19,22,1.9,1.1,0.1,12,25.00000
29,13,75,263,-10,0,2,4,2,-2,-0.1,9,8,0.8,0.4,0.7,4,0.57040
25,13,98,248,-12,-1,1,-2,1,-13,-1.4,8,-5,-0.6,-0.4,-0.2,-3,0.57500
29,15,95,333,-18,-1,-1,-1,2,-18,-1.7,12,-6,-0.6,-0.5,0.2,-5,0.56710
28,2,26,70,0,0,0,0,0,0,0,0,0,0.2,0,0.3,0,0.56350
29,14,8,4,0,-1,0,-1,0,-1,-0.1,0,-1,-0.1,0,-0.1,0,0.56350
29,15,73,287,2,1,1,1,2,8,0.7,9,17,1.6,1.5,0.3,16,0.56350
34,9,47,182,-5,-1,1,-8,-2,-15,-1.4,7,-9,-0.8,-0.1,-0.9,-1,4.00000
27,8,37,95,-7,1,0,-1,0,-7,-0.7,3,-4,-0.4,-0.3,0,-3,0.56350
33,2,101,328,-5,0,0,-1,1,-5,-0.6,2,-3,-1,0,-0.5,-2,0.56350
27,4,121,464,-2,-1,-1,0,3,-1,0.1,17,16,1.6,1.5,0.4,16,7.50000
28,4,162,714,7,7,3,-11,8,14,1.6,25,38,3.9,4.8,-0.1,49,4.82500
25,14,85,261,12,0,-1,3,-3,11,1.1,9,20,2,1.7,0.1,17,0.56450
32,6,74,271,-1,1,0,-7,3,-4,-0.3,10,6,0.6,1.2,-0.3,13,5.25000
26,2,130,465,-1,-4,0,-3,7,0,-0.2,15,15,1.3,1.7,0.3,18,0.57000
26,14,5,21,1,0,0,0,0,0,0,1,1,0.1,0.1,0,1,0.56350
25,6,153,704,22,4,-1,-7,7,25,2.6,23,48,4.8,5.4,0.2,55,3.58333
27,10,162,679,34,-1,-2,-9,-12,11,1.3,24,35,3.6,4.3,-1.8,44,4.66667
32,3,159,693,16,-2,-2,-8,-10,-5,-0.3,24,19,2,2.7,-1.6,27,16.00000
29,4,124,548,20,-2,-2,-1,3,18,2,19,37,3.8,3.7,0.4,38,9.50000
29,6,146,530,-12,-3,0,7,7,-1,-0.3,17,16,1.4,0.8,1.3,9,2.50000
30,9,128,373,1,1,-1,-10,-4,-14,-1.5,12,-2,-0.4,0.8,-1.5,8,1.12500
26,15,95,285,-1,0,0,-5,-2,-9,-1,9,0,-0.1,0.5,-0.8,5,0.56350
25,4,141,403,-21,-2,-1,2,3,-20,-2.2,13,-7,-0.9,-1,0.4,-9,2.77500
29,7,14,24,0,0,0,1,0,1,0.1,1,1,-0.1,-0.2,0.1,0,0.56350
26,5,129,542,4,4,0,4,2,14,1.6,19,34,3.4,2.9,0.8,30,4.15000
25,5,56,157,0,0,0,0,0,0,0,0,0,-0.7,-0.3,-0.3,0,0.56350
26,2,40,126,-5,-1,-1,0,2,-5,-0.4,5,0,0,0,0.3,0,0.56350
26,3,143,613,29,-3,0,-8,-8,10,0.8,19,30,2.7,3.6,-1.8,38,0.58700
33,5,155,659,26,-1,-1,15,3,42,3.9,21,63,6,4.7,1.7,48,23.00000
26,3,24,56,-4,1,0,1,-1,-3,-0.3,2,-1,-0.1,-0.2,0,-2,0.56350
31,4,36,147,-16,-1,1,0,1,-15,-1.4,5,-10,-0.9,-1,0.1,-10,2.00000
22,14,94,279,-3,0,2,-4,-3,-8,-0.9,9,1,0,0.5,-0.8,5,0.56350
31,2,106,342,-5,-1,-2,-9,6,-11,-0.9,12,2,0.3,1.1,-0.2,11,1.07500
32,9,141,550,-9,-1,-1,10,-6,-7,-0.5,20,13,1.4,0.3,0.5,3,13.00000
25,7,41,157,-7,0,0,3,-2,-5,-0.6,5,0,-0.1,-0.3,0.1,-3,0.56350
24,7,95,260,-4,0,0,2,-3,-4,-0.5,8,4,0.3,0.2,-0.2,2,0.56350
27,8,51,139,-9,0,0,-2,1,-10,-1.1,5,-5,-0.6,-0.4,-0.1,-3,0.56000
29,2,7,18,-2,0,0,0,0,-2,-0.1,1,-1,-0.1,-0.1,0,-1,0.56350
30,2,6,18,-2,0,0,0,0,-2,-0.2,1,-2,-0.2,-0.2,0,-2,0.56350
30,8,133,285,-15,1,0,-3,2,-15,-1.7,9,-6,-0.8,-0.4,-0.3,-3,9.00000
20,7,150,659,33,2,0,0,-6,29,2.6,20,49,4.6,4.8,-0.7,49,0.57830
32,5,65,185,-8,-1,0,-5,2,-12,-1.3,6,-6,-0.7,-0.1,-0.4,-1,3.00000
26,4,139,518,-9,2,1,-13,2,-17,-1.4,19,2,0.3,1.5,-0.9,15,3.60000
31,3,52,170,-7,-1,-1,1,-2,-11,-1,6,-5,-0.4,-0.6,-0.1,-6,2.50000
32,3,121,500,2,-2,-2,-7,-8,-17,-1.4,18,1,0.3,0.8,-1.3,8,8.00000
34,5,135,549,25,2,0,-3,2,26,2.3,18,44,4.1,4.5,-0.2,47,19.00000
31,7,63,256,-3,0,0,-13,-3,-19,-1.7,9,-10,-0.9,0.3,-1.4,3,18.00000
27,13,9,26,-3,0,0,1,0,-2,-0.2,1,-1,-0.1,-0.2,0.1,-2,0.56350
24,4,7,18,-1,0,0,0,0,-1,-0.1,1,0,-0.1,-0.1,0,0,0.56350
24,5,20,79,-3,0,0,3,0,1,0.1,3,4,0.4,0.1,0.3,1,0.56350
36,3,53,201,-4,-1,0,0,-1,-7,-0.6,3,-4,-1,-0.8,-0.5,-4,0.56350
29,8,100,228,-7,0,0,1,-1,-6,-0.7,2,-4,-0.7,-1.1,0.4,-5,0.57177
22,4,84,348,16,-1,-1,-5,2,11,0.9,11,22,2,2.7,-0.4,27,0.56350
25,8,144,628,40,2,1,7,5,56,5.2,20,76,7.2,6.6,1.1,69,2.40000
31,2,67,211,-3,0,-1,-2,3,-2,-0.2,8,5,0.6,0.7,0.2,7,0.57250
26,3,39,78,0,0,0,0,-1,-2,-0.2,3,1,0.1,0.1,-0.1,1,0.56350
29,8,129,480,-16,2,3,13,3,6,0.7,17,23,2.4,1,1.7,10,8.16667
25,15,22,50,-4,0,0,-1,-1,-6,-0.6,2,-5,-0.5,-0.4,-0.2,-3,0.56350
25,6,130,531,13,0,2,-5,6,17,1.4,17,34,3.1,3.8,0,39,0.55750
30,8,161,645,-4,0,0,0,0,-4,-0.4,1,-4,0.9,1.5,-0.4,-3,0.56350
28,2,59,174,-8,0,0,-3,3,-8,-0.7,6,-1,-0.1,0.1,0.1,2,1.13700
31,10,133,533,-11,-1,-1,1,-12,-23,-2.1,19,-4,-0.3,-0.5,-0.9,-5,16.50000
31,9,152,632,7,0,-1,0,-6,0,0.2,23,22,2.4,2.2,-0.4,22,10.50000
28,4,148,549,7,4,2,19,4,37,3.4,18,54,5.2,3.4,2.2,35,6.50000
27,5,147,634,27,2,-1,-8,0,21,1.8,20,41,3.7,4.7,-1,49,12.90000
33,14,40,82,-1,-1,0,2,0,0,0,2,2,0.3,-0.1,0.4,0,0.56350
35,2,85,309,1,0,-1,-10,5,-5,-0.6,10,5,0.3,1.4,-0.6,15,4.00000
28,15,97,197,-7,1,1,3,1,-1,-0.2,6,6,0.4,0.2,0.3,3,0.55750
27,14,30,53,1,0,0,0,-1,0,0,2,2,0.2,0.2,-0.1,2,0.56350
29,2,18,57,-3,0,0,0,1,-2,-0.2,2,0,0,0,0.1,0,0.56290
23,9,18,75,2,0,0,-2,-1,0,0.1,3,3,0.3,0.5,-0.2,5,0.56350
26,7,155,610,14,-2,1,-3,-5,4,0.1,20,24,2.1,2.6,-1,27,3.39000
31,5,106,443,6,1,-1,3,2,12,1.3,16,27,2.8,2.4,0.6,24,19.50000
22,15,22,72,1,1,0,4,-1,5,0.5,3,8,0.8,0.4,0.3,4,0.56350
25,15,26,69,-1,-1,1,-1,0,-2,-0.2,2,0,0.1,0.1,-0.1,1,0.56350
23,14,34,44,4,0,0,1,0,5,0.5,1,6,0.6,0.5,0.1,5,0.56350
31,8,65,264,-14,-1,1,0,2,-12,-1.1,9,-3,-0.2,-0.3,0.2,-3,3.00000
28,15,140,618,-8,4,1,-8,0,-10,-0.8,21,11,1.3,1.9,-0.6,19,1.55000
25,8,75,248,-24,-1,-1,-1,1,-26,-2.8,8,-18,-2,-1.8,-0.1,-17,0.57000
32,11,101,367,-11,1,-1,-4,-1,-16,-1.4,13,-3,-0.2,0.1,-0.3,1,0.56350
31,3,29,38,-1,-1,0,0,0,-2,-0.2,1,-1,-0.1,-0.1,-0.1,-1,0.56350
33,8,148,623,-13,2,-2,22,3,12,1,20,33,3,0.9,2.4,11,15.00000
25,7,84,343,11,-1,0,-3,-3,4,0.5,12,16,1.7,1.9,-0.5,19,1.92857
33,3,39,119,-8,-1,0,-3,-2,-15,-1.4,4,-10,-1,-0.7,-0.5,-7,1.25000
22,15,92,366,10,-1,3,-8,1,5,0.6,13,18,1.8,2.5,-0.6,26,0.56350
24,13,45,70,-1,0,0,3,1,2,0.2,2,4,0.4,0.1,0.3,1,0.55596
22,4,108,406,-5,-1,1,-1,3,-3,-0.2,15,11,1.2,1.2,0.4,12,0.56350
23,2,7,16,-1,0,0,0,0,0,0,1,0,0,0,0,0,0.56350
22,12,71,249,-4,0,-1,1,3,-1,-0.2,8,7,0.6,0.6,0.3,6,0.55640
28,2,44,129,-14,1,0,1,3,-10,-0.9,5,-5,-0.5,-0.7,0.4,-6,0.57900
28,3,118,510,17,-1,-1,-12,-8,-6,-0.4,18,12,1.4,2.4,-1.8,24,0.57320
28,7,40,144,-7,0,0,1,-1,-6,-0.7,2,-4,-0.5,-0.9,0.2,-5,0.56750
23,14,15,42,1,0,0,1,0,1,0.1,1,3,0.2,0.2,0.1,2,0.56350
26,5,123,428,-15,-1,-2,-2,2,-17,-1.9,14,-4,-0.6,-0.3,-0.1,-1,5.20000
26,8,134,566,-15,4,0,-13,1,-23,-2.1,20,-3,-0.1,1,-1,10,0.57840
26,5,156,661,8,1,-4,-2,5,8,0.5,21,29,2.6,3,0.1,31,12.00000
32,2,76,179,-4,0,1,4,3,3,0.2,6,9,0.8,0.4,0.6,5,1.60000
24,8,151,441,-8,4,1,6,3,6,0.4,14,20,1.8,1.3,0.7,14,0.57710
28,7,130,549,5,4,-1,1,-5,4,0.2,18,22,1.9,2,-0.5,21,12.25000
26,4,61,155,-7,-1,1,-1,1,-7,-0.6,6,-1,-0.1,0,0.1,0,0.56400
28,6,162,747,43,2,0,12,9,66,6.5,25,90,8.9,7.5,2.2,78,5.90000
30,14,126,497,32,0,0,-4,-2,26,2.6,18,44,4.3,4.6,-0.5,48,2.05000
35,3,78,162,-12,-1,-1,0,-2,-15,-1.6,5,-10,-1.1,-1,-0.2,-10,1.00000
33,10,12,31,-3,0,0,0,-1,-4,-0.4,1,-3,-0.3,-0.3,0,-3,13.50000
26,14,30,40,-1,0,0,-2,0,-3,-0.3,1,-2,-0.2,0,-0.3,0,0.55650
32,2,105,374,-3,0,0,-1,0,-4,-0.4,0,-4,1.2,0.5,1.4,-2,0.56350
35,11,104,260,-17,-1,-2,1,-2,-20,-2.2,8,-12,-1.3,-1.4,-0.2,-13,15.00000
30,15,114,463,-6,-2,0,11,-3,1,0.2,17,17,1.8,0.7,0.9,6,12.00000
27,14,11,34,-2,0,0,-1,0,-2,-0.2,1,-1,-0.1,0,-0.1,0,0.56350
30,3,111,333,-9,0,0,4,-4,-8,-1,11,3,0.1,-0.2,-0.1,-1,3.00000
26,15,99,268,0,0,1,-1,-3,-4,-0.5,9,5,0.4,0.5,-0.6,6,0.56350
33,5,129,492,-6,-2,0,5,2,-1,-0.4,16,15,1.2,0.9,0.6,10,14.75000
26,5,156,670,24,0,-1,34,3,60,6,24,83,8.3,4.8,3.9,49,0.58000
28,5,46,169,-3,-2,0,-2,1,-5,-0.5,6,1,0.1,0.3,-0.1,3,2.67500
34,7,20,62,-7,0,0,-3,-1,-10,-1.1,2,-8,-0.9,-0.6,-0.4,-5,0.56350
25,3,127,547,25,-1,-1,18,-7,35,3.6,19,54,5.4,3.5,1.3,36,0.57500
29,10,27,80,-7,0,0,-1,-2,-9,-0.8,3,-6,-0.6,-0.5,-0.2,-5,0.56350
24,5,53,164,-4,-1,0,3,0,-1,-0.1,6,5,0.5,0.1,0.4,1,0.56350
33,2,67,183,-5,-1,0,3,3,0,-0.1,6,6,0.5,0.2,0.5,3,0.56350
34,9,129,238,8,0,-1,-5,-2,0,-0.1,8,8,0.7,1.3,-0.8,13,1.25000
24,4,30,111,-1,0,0,0,0,-1,-0.1,0,-1,0.4,0.5,0.1,-1,0.56350
26,9,134,596,17,-4,1,8,-2,20,2.1,20,40,4.1,3.2,0.8,32,6.00000
26,13,20,35,-5,1,0,-2,1,-5,-0.5,1,-4,-0.4,-0.2,-0.1,-2,0.57050
28,3,141,589,29,0,1,12,-1,41,3.8,19,60,5.7,4.7,1,48,0.57500
28,2,51,147,-10,-1,0,-2,1,-12,-1.1,4,-8,-1.6,-1.3,0,-6,0.59010
22,2,42,148,-10,-2,0,2,3,-7,-0.6,5,-2,-0.1,-0.4,0.5,-4,0.56350
34,9,133,397,-4,0,-1,-15,-4,-24,-2.6,13,-11,-1.3,0.3,-2,4,1.15000
28,8,53,97,-5,1,0,0,0,-3,-0.3,3,0,0,0,0,0,3.25000
32,7,148,637,21,0,1,10,-7,25,2.6,23,47,4.8,3.7,0.5,37,16.00000
23,13,95,382,-3,-1,-1,-3,-2,-9,-0.8,14,5,0.6,0.8,-0.3,7,0.56350
26,9,151,648,23,2,0,-4,-4,17,1.4,21,37,3.4,4,-1,41,4.02500
24,14,18,46,-3,1,0,1,-1,-1,-0.1,2,0,0,-0.1,0.1,-1,0.55650
27,14,100,53,-3,0,0,1,6,4,0.4,1,4,0.4,0.3,0,3,1.95000
26,2,22,55,-1,0,0,1,1,1,0.1,2,3,0.3,0.2,0.2,2,0.55670
26,14,4,8,-2,0,0,-1,0,-3,-0.4,0,-3,-0.3,-0.2,-0.1,-2,0.55750
24,10,12,49,-9,0,0,-4,-1,-14,-1.3,2,-12,-1.2,-0.8,-0.4,-8,0.61760
36,10,136,549,-4,-3,-3,-1,-11,-22,-2,20,-2,-0.1,-0.1,-1,-1,30.00000
30,6,132,526,-7,-2,-1,2,6,-1,-0.3,17,16,1.4,1.3,0.7,14,3.15500
26,5,105,439,24,-3,-1,-7,1,14,1.5,16,30,3,3.6,-0.5,37,2.65000
25,13,50,142,1,0,0,-1,0,1,0.1,5,6,0.6,0.6,0,7,0.56350
26,3,50,163,7,0,0,0,-3,5,0.5,6,11,1.1,1,-0.2,11,0.56350
31,4,75,213,0,0,1,2,1,5,0.5,8,12,1.2,1,0.4,10,0.56350
26,14,12,26,-5,0,0,0,0,-6,-0.6,1,-5,-0.5,-0.5,-0.1,-5,0.56350
30,5,143,584,12,-1,-1,-2,3,12,1,19,31,2.8,3.2,0,33,7.00000
28,7,87,296,11,3,-2,18,-3,28,2.8,11,39,3.8,2,1.6,21,0.55700
27,8,134,600,61,3,1,-2,2,65,6.3,20,85,8.2,8.3,0.2,87,36.83333
28,7,107,411,13,-1,1,8,-5,16,1.4,13,29,2.8,2.1,0.2,21,0.56350
28,2,90,289,-22,0,-1,4,5,-13,-1.2,10,-3,-0.2,-0.7,1,-7,4.41200
29,8,9,25,-6,0,0,1,0,-5,-0.5,1,-4,-0.4,-0.5,0.1,-5,0.57450
28,2,93,359,26,-1,0,0,5,29,2.9,13,42,4.1,4,0.6,42,0.57500
28,9,63,283,4,0,0,1,-1,3,0.4,10,13,1.3,1.2,0.1,12,0.59010
33,3,91,335,5,0,-1,-1,-5,-1,0,12,11,1.2,1.2,-0.5,12,6.50000
26,5,2,2,-1,0,0,0,0,-1,-0.1,0,-1,-0.1,-0.1,0,-1,0.56350
26,9,150,706,31,6,-1,16,-5,47,4.8,23,70,6.9,5.2,1.2,54,20.00000
24,6,56,128,-1,2,0,3,1,5,0.5,5,10,1,0.6,0.5,6,0.56350
23,3,50,170,1,1,0,-2,-3,-2,-0.2,6,4,0.4,0.6,-0.4,6,0.56350
33,11,115,381,0,0,0,-1,-4,-5,-0.7,12,8,0.6,0.8,-0.6,8,2.00000
38,10,120,521,41,-3,-2,0,-10,25,2.6,18,44,4.4,4.2,-0.9,44,14.00000
27,9,151,664,15,1,-1,-4,-2,10,0.8,7,17,2.7,3.6,-1.5,20,0.56350
29,6,158,625,-3,4,-1,17,8,26,2.3,20,46,4.3,2.8,2.4,29,3.66300
24,2,3,6,-1,0,0,0,0,-1,-0.1,0,-1,-0.1,-0.1,0,-1,0.56350
25,2,20,64,-3,0,0,0,1,-2,-0.1,2,1,0.1,0.1,0.1,1,0.56350
35,2,31,73,-5,-1,-1,-1,1,-6,-0.6,3,-4,-0.4,-0.3,0.1,-3,1.25000
35,9,116,469,3,-1,1,-2,-4,-3,-0.5,15,12,1,1.3,-0.8,14,4.00000
29,7,32,109,-1,0,0,-2,-1,-4,-0.4,3,-1,-0.2,0,-0.3,2,0.56350
24,8,104,414,-5,-1,-1,-1,2,-6,-0.7,13,8,0.6,0.8,0,9,0.56350
24,10,33,135,6,0,0,-2,-1,2,0.3,5,7,0.7,0.9,-0.3,9,0.56350
25,7,67,112,-13,0,0,-1,-1,-15,-1.5,4,-11,-1.2,-1,-0.3,-10,0.57500
26,7,21,68,-4,-1,0,-2,-1,-8,-0.7,2,-5,-0.5,-0.3,-0.2,-3,0.56350
24,12,103,402,-23,1,3,1,4,-14,-1.3,14,0,0.1,-0.1,0.6,-1,0.56350
22,6,20,82,-2,0,0,-1,1,-2,-0.2,3,1,0.1,0.2,0,2,0.56350
27,15,112,472,-5,6,0,-4,1,-2,-0.1,17,15,1.6,1.9,-0.2,19,0.67050
27,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56350
28,5,155,662,28,1,-1,18,3,49,4.6,21,70,6.7,5,2,52,26.00000
24,9,116,469,-3,-1,1,-4,-5,-11,-0.9,17,6,0.7,1,-0.7,10,3.30000
27,8,39,139,-8,0,1,-3,1,-9,-0.9,5,-4,-0.5,-0.1,-0.3,-1,5.35000
27,2,132,482,12,-2,0,-10,5,5,0.7,17,22,2.3,3.1,-0.3,32,0.58120
24,6,152,546,-28,1,0,2,7,-18,-2.1,18,0,-0.3,-0.4,0.8,-2,0.56570
24,8,115,482,-3,2,0,8,1,8,0.9,17,25,2.5,1.6,1,17,0.56350
22,4,160,702,15,1,2,11,4,34,3,22,55,5.2,4.3,1.4,44,0.57500
25,15,71,157,-9,0,0,-5,-1,-15,-1.5,5,-9,-1,-0.5,-0.7,-4,0.56550
32,5,108,296,6,0,1,1,-1,7,0.6,10,17,1.5,1.5,-0.1,16,0.55500
26,13,40,86,-8,0,0,-1,1,-8,-0.9,3,-5,-0.6,-0.5,-0.1,-4,0.56350
27,11,9,28,-4,0,0,0,0,-4,-0.4,1,-3,-0.3,-0.3,0,-3,0.56350
25,6,159,664,0,0,0,26,8,35,3.2,22,56,5.3,2.9,3.3,30,1.66667
31,3,161,682,15,1,-1,0,-8,6,0.3,22,28,2.4,2.6,-1,28,14.50000
25,2,96,341,-3,-1,1,-5,5,-3,-0.2,12,9,1,1.4,0.2,14,0.56350
24,3,161,693,45,0,0,-3,-8,34,3,22,56,5.2,5.7,-1.3,59,0.55500
32,14,26,46,-9,0,0,4,-1,-6,-0.6,2,-4,-0.4,-0.8,0.4,-8,0.56350
28,14,14,47,-4,0,0,-4,-1,-8,-0.9,2,-7,-0.7,-0.3,-0.5,-3,0.56350
26,14,94,260,0,0,-1,6,-3,3,0.1,8,11,1,0.4,0.3,5,0.56350
30,15,44,68,-4,0,0,-2,0,-6,-0.6,2,-4,-0.4,-0.2,-0.2,-1,0.56350
22,5,156,702,32,-2,3,-10,3,26,2.7,24,49,4.9,5.8,-0.5,59,0.61450
28,7,34,96,-7,1,0,2,-1,-6,-0.6,3,-2,-0.3,-0.5,0.1,-4,0.56350
25,7,138,447,-15,0,2,-3,-4,-20,-2.2,15,-5,-0.8,-0.3,-0.8,-2,0.56000
38,14,29,26,-1,-1,0,0,0,-1,-0.2,1,-1,-0.1,-0.1,-0.1,-1,0.56350
24,8,123,481,16,3,1,-3,2,19,1.9,17,36,3.6,3.8,0.1,39,0.55750
27,9,151,628,-7,0,-3,-7,-3,-20,-1.7,23,3,0.4,1,-0.8,10,5.00000
24,14,19,23,2,-1,0,1,0,2,0.2,1,3,0.3,0.2,0.1,2,0.56350
27,3,29,43,-2,-1,0,0,0,-3,-0.3,1,-1,-0.2,-0.2,-0.1,-1,0.56350
25,2,6,11,-2,0,0,0,0,-3,-0.3,0,-2,-0.2,-0.2,0,-2,0.56350
24,2,30,105,4,0,1,0,2,6,0.6,4,10,1,1,0.2,10,0.56350
25,10,151,599,-1,1,0,-7,-11,-19,-1.6,21,3,0.4,1,-1.6,10,0.56200
35,2,9,20,0,0,0,-2,0,-2,-0.2,1,-1,-0.1,0.1,-0.2,1,0.56350
26,3,160,705,10,-1,-1,0,-9,-2,-0.5,22,20,1.6,1.8,-1.1,20,0.57500
23,13,30,80,-4,0,0,-1,1,-4,-0.3,3,-1,-0.1,0,0,0,0.56200
24,6,120,309,-19,1,2,-14,5,-25,-2.3,11,-14,-1.3,0,-0.8,0,0.55500
25,5,127,413,-10,-2,-1,-6,1,-18,-1.6,15,-3,-0.2,0.3,-0.3,3,0.55850
29,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56350
29,7,138,482,-7,0,1,3,-5,-9,-0.7,17,9,1,0.6,0,6,2.00000
26,4,31,80,-1,0,0,-1,0,-2,-0.2,3,1,0,0.1,-0.1,2,0.56350
30,2,119,449,-1,-1,-1,19,7,24,2.5,16,40,4,2.1,2.7,21,2.62500
36,4,107,423,-3,-2,-1,-6,2,-9,-1.1,14,5,0.3,1,-0.5,11,24.00000
35,2,114,437,8,-1,-2,9,7,22,2.3,16,37,3.8,2.8,1.7,28,5.75000
31,2,5,15,-3,0,0,0,0,-2,-0.3,0,-2,-0.2,-0.2,0,-2,0.56350
26,8,44,122,-6,2,0,-1,1,-4,-0.5,4,0,-0.1,0,-0.1,1,0.55900
21,8,156,715,24,5,0,11,-1,40,3.6,21,61,5.7,4.8,0.9,50,0.56000
24,3,87,295,-9,-2,0,4,-4,-12,-1,11,-1,0,-0.5,0.1,-5,0.56950
26,13,7,17,-1,0,0,-2,0,-3,-0.3,1,-3,-0.2,-0.1,-0.2,0,0.80000
27,12,84,294,-12,1,1,-8,1,-18,-1.6,11,-7,-0.6,0.1,-0.6,1,0.56350
26,14,63,119,-7,1,1,-7,-1,-13,-1.3,4,-9,-0.9,-0.2,-0.8,-2,0.56000
25,4,145,581,-19,-4,2,-5,3,-22,-2,21,-1,0,0.4,0,4,7.83333
24,10,111,409,-5,0,-1,-2,-7,-16,-1.4,15,-1,0,0.1,-0.8,1,0.55750
29,13,6,9,-3,0,0,0,0,-2,-0.2,0,-2,-0.2,-0.2,0,-2,0.56350
36,2,83,249,-4,-1,0,1,4,0,-0.1,8,8,0.7,0.6,0.4,7,20.00000
35,7,144,508,10,1,-1,-3,-4,3,0.1,17,20,1.7,2.1,-0.9,23,19.00000
27,9,97,247,-10,-1,0,-2,-2,-15,-1.4,9,-6,-0.6,-0.4,-0.3,-4,0.55500
31,15,12,25,-1,0,0,-1,-1,-3,-0.3,1,-2,-0.2,-0.1,-0.1,-1,0.56350
32,13,14,22,-3,0,0,0,0,-3,-0.3,1,-2,-0.2,-0.2,0,-2,0.56350
31,5,52,163,-4,0,-1,-2,1,-7,-0.6,6,-1,-0.1,0.1,-0.1,1,0.56350
31,2,5,19,1,0,0,0,0,2,0.1,1,2,0.2,0.2,0,2,0.56350
27,15,23,83,-1,0,0,-1,-1,-3,-0.3,3,0,0,0.1,-0.2,1,0.56350
24,4,141,539,-9,2,0,3,2,-3,-0.5,18,15,1.2,1.1,0.4,12,0.56000
25,3,105,370,-17,-2,0,-4,-5,-29,-2.7,13,-16,-1.5,-1.2,-0.8,-12,0.55765
34,3,52,190,-4,1,0,3,-3,-3,-0.4,6,3,0.2,0,0,0,18.00000
27,5,47,187,-1,-2,1,-5,0,-7,-0.6,7,0,0,0.5,-0.4,5,0.57980
25,15,11,4,-1,0,0,0,0,-1,-0.1,0,-1,-0.1,-0.1,0,-1,0.56350
25,15,59,157,-7,0,-1,-2,-3,-13,-1.3,6,-8,-0.7,-0.6,-0.5,-6,0.55850
30,2,65,191,-13,0,1,-4,3,-13,-1.2,7,-7,-0.6,-0.2,0,-2,2.47500
29,4,42,139,-8,-2,0,-2,0,-10,-1.1,2,-8,-1.1,-0.6,-0.4,-6,9.77500
26,15,25,85,-3,0,0,0,-1,-4,-0.3,3,-1,-0.1,-0.1,0,-1,0.56350
25,8,126,500,-1,2,2,8,3,14,1.2,16,30,2.8,2.1,1,22,1.50000
28,8,30,95,-8,-1,0,1,0,-8,-0.8,3,-5,-0.5,-0.6,0.1,-6,0.62500
24,2,20,60,2,1,0,0,1,4,0.4,2,6,0.6,0.6,0.1,6,0.56350
34,15,76,139,-1,0,0,2,0,2,0.1,5,6,0.6,0.4,0.2,4,0.56350
25,2,5,12,-3,0,0,0,0,-3,-0.3,0,-2,-0.2,-0.2,0,-2,0.56350
26,7,26,83,2,-1,0,5,-1,5,0.6,3,8,0.8,0.3,0.4,3,0.56350
28,13,14,33,0,0,0,3,0,3,0.3,1,4,0.4,0.1,0.3,1,0.56350
23,15,42,168,3,-1,0,-10,0,-7,-0.6,6,-1,-0.1,0.8,-0.9,9,0.56350
24,13,25,61,-3,0,0,3,0,0,0,2,2,0.2,-0.1,0.4,-1,0.56350
36,10,151,660,13,2,1,-17,-9,-10,-0.7,23,13,1.5,3,-2.3,30,21.00000
